"","date_time","temperature"
"2093",2015-09-24,15.8200694444444
"2094",2015-09-25,15.7012847222222
"2095",2015-09-26,15.5769097222222
"2096",2015-09-27,15.4994097222222
"2097",2015-09-28,15.48625
"2098",2015-09-29,15.4781597222222
"2099",2015-09-30,15.4510416666667
"2100",2015-10-01,15.4474305555556
"2101",2015-10-02,15.4645833333333
"2102",2015-10-03,15.4112152777778
"2103",2015-10-04,15.4221180555556
"2104",2015-10-05,15.3961805555556
"2105",2015-10-06,15.2519444444444
"2106",2015-10-07,15.3027430555556
"2107",2015-10-08,15.33375
"2108",2015-10-09,15.2926388888889
"2109",2015-10-10,15.0872222222222
"2110",2015-10-11,14.2900347222222
"2111",2015-10-12,13.5126388888889
"2112",2015-10-13,12.8126388888889
"2113",2015-10-14,12.1084375
"2114",2015-10-15,11.7164930555556
"2115",2015-10-16,11.7293402777778
"2116",2015-10-17,11.5492361111111
"2117",2015-10-18,11.7269097222222
"2118",2015-10-19,11.7348958333333
"2119",2015-10-20,11.4098611111111
"2120",2015-10-21,11.7371180555556
"2121",2015-10-22,12.5038541666667
"2122",2015-10-23,12.4440625
"2123",2015-10-24,12.3586458333333
"2124",2015-10-25,12.5305555555556
"2125",2015-10-26,12.3277083333333
"2126",2015-10-27,12.1505555555556
"2127",2015-10-28,11.8360763888889
"2128",2015-10-29,11.7390625
"2129",2015-10-30,11.7116666666667
"2130",2015-10-31,11.5332291666667
"2131",2015-11-01,11.6414930555556
"2132",2015-11-02,11.5970833333333
"2133",2015-11-03,11.5180902777778
"2134",2015-11-04,11.4905208333333
"2135",2015-11-05,11.5334375
"2136",2015-11-06,11.6570138888889
"2137",2015-11-07,11.8561111111111
"2138",2015-11-08,12.0874305555556
"2139",2015-11-09,12.2815277777778
"2140",2015-11-10,12.3673611111111
"2141",2015-11-11,11.9748263888889
"2142",2015-11-12,11.8478472222222
"2143",2015-11-13,11.8002777777778
"2144",2015-11-14,11.5792013888889
"2145",2015-11-15,11.0810763888889
"2146",2015-11-16,11.0153125
"2147",2015-11-17,11.1373611111111
"2148",2015-11-18,11.2503819444444
"2149",2015-11-19,11.0756597222222
"2150",2015-11-20,10.7196180555556
"2151",2015-11-21,10.3143402777778
"2152",2015-11-22,9.56527777777778
"2153",2015-11-23,8.65697916666667
"2154",2015-11-24,8.65840277777778
"2155",2015-11-25,8.59340277777778
